DISTRICT,STATEID,DISTID,nlines,lengthlines
Jhalawar,8,32,1390,2635321.143
Jhansi,9,36,1376,2160442.94
Jharsuguda,21,2,613,826757.0516
Jhunjhunu,8,5,1612,2756329.011
Jind,6,9,757,1317337.147
Jodhpur,8,15,3958,7985150.413
Jorhat,18,17,381,734056.2915
Junagadh,24,12,1804,3179629.137
Jyotiva Phule Nagar,9,6,722,1146806.344
Kachchh,24,1,2841,5978342.387
Kaimur (Bhabua),10,31,783,1198437.274
Kaithal,6,5,801,1270943.854
Kalahandi,21,26,970,1911848.642
Kamrup,18,6,548,1078787.632
Kancheepuram,33,3,1653,2299674.204
Kandhamal,21,21,291,908224.2524
Kangra,2,2,633,1316099.416
Kanker,22,14,705,1593056.92
Kannauj,9,30,793,1155357.921
Kanniyakumari,33,30,283,481723.1357
Kannur,32,2,284,694029.7739
Kanpur Dehat,9,33,1389,1879060.234
Kanpur Nagar,9,34,1461,1803959.717
Kapurthala,3,3,598,895164.7732
Karauli,8,9,1151,1918957.777
Karauli,8,10,1151,1918957.777
Karbi Amglong,18,19,392,789144.5097
Karimnagar,28,3,610,920800.893
Karnal,6,6,1103,1536754.988
Karur,33,14,918,1325236.876
Karur,33,15,918,1325236.876
Katni,23,38,950,1746954.678
Kaushambi,9,44,984,1137705.193
Kawardha,22,8,682,1358739.55
Kendujhar,21,6,877,1911183.359
Khammam,28,10,957,1628635.262
Kheda,24,16,858,1468282.111
Kheri,9,23,1903,3150540.305
Khordha,21,17,747,1145840.1
Kodagu,29,25,152,497896.8233
Kolar,29,19,1055,1643780.511
Kolhapur,27,34,1210,2208288.18
Kolkata,19,17,97,127459.9122
Kollam,32,13,388,755040.8146
Koppal,29,7,895,1862761.368
Koraput,21,29,1045,2049327.661
Korba,22,5,1325,2053382.52
Koriya,22,1,546,1173011.939
Kota,8,30,1254,2144757.384
Kottayam,32,10,290,629198.9783
Kozhikode,32,4,261,624291.1637
Krishna,28,16,1875,3221316.085
Kullu,2,4,145,411609.8612
Kurnool,28,21,2282,4904152.637
Kurukshetra,6,4,685,1012528.199
Kushinagar,9,59,805,1294925.784
Lucknow,9,28,1044,1521945.395
Ludhiana,3,9,1309,2070401.721
Madhubani,10,5,996,1706117.033
Madurai,33,24,1135,1586513.854
Mahasamund,22,12,1139,1945408.982
Mahbubnagar,28,7,669,1147735.538
Mahesana,24,4,1027,1775912.033
Malappuram,32,5,337,792530.0808
Maldah,19,6,734,1379500.649
Malkangiri,21,30,420,990250.3526
Mandi,2,5,423,909168.1641
Mandla,23,42,912,1897505.66
Mandya,29,22,1185,1936718.434
Manipur,14,0,1228,3101595.74
Marigaon,18,9,347,576659.6413
Mathura,9,14,990,1658854.709
Mau,9,62,728,1014835.893
Mayurbhanj,21,7,1571,2834627.462
