Name,NVillages_Inhabited,Nvillages_Uninhabited,NTowns,NHHs,NMales,Nfemales,Area_sq_km
Jalandhar,922,19,21,461635,1145211,1048379,2624
Jalapiguri,718,15,39,868326,1983064,1889782,6227
Jalgaon,1487,26,20,903643,2197365,2032552,11765
Jalna,958,9,4,391701,1011473,947573,7694
Jalor,791,10,4,326134,936634,892096,10640
Jammu,780,72,20,314199,813821,716137,2342
Jamnagar,697,17,16,430941,1114192,1045927,14184
Janjgir,881,11,15,364532,815717,803990,3853
Jashpur,754,1,5,192570,424747,426922,5838
Jhalawar,1488,118,9,283295,725143,685986,6219
Jhansi,745,71,19,367779,1057436,941167,5024
Jharsuguda,347,4,5,136061,296690,282815,2114
Jhunjhunu,926,1,18,384197,1095896,1041149,5928
Jind,302,4,6,249736,713006,621146,2702
Jodhpur,1836,2,7,649013,1923928,1763237,22850
Jorhat,763,85,11,236262,556805,535451,2851
Junagadh,901,128,15,527326,1404356,1338726,8831
Jyotiva Phule Nagar,959,164,9,314401,963449,876772,2249
Kachchh,877,47,14,445672,1096737,995634,45674
Kaimur (Bhabua),1337,358,3,250884,847006,779378,3332
Kaithal,267,2,4,204274,571003,503301,2317
Kalahandi,2116,137,5,401251,787101,789768,7920
Kamrup,204,12,12,293112,647585,606353,955
Kancheepuram,962,57,75,1006245,2012958,1985294,4483
Kandhamal,2417,170,4,172022,359945,373165,8021
Kangra,3617,252,9,338887,750591,759484,5739
Kanker,1063,7,6,160937,373338,375603,7161
Kannauj,688,64,8,280928,881776,774840,2093
Kanniyakumari,56,7,96,483539,926345,944029,1684
Kannur,56,0,67,554298,1181446,1341557,2961
Kanpur Dehat,966,63,12,329817,963255,832929,3021
Kanpur Nagar,902,101,10,863338,2459806,2121462,3155
Kapurthala,612,76,9,167989,426311,388857,1633
Karauli,851,37,4,262503,783639,674609,5524
Karbi Amglong,2712,209,7,177646,490167,466146,10434
Karimnagar,1037,42,13,976022,1880800,1895469,11823
Karnal,417,17,8,292084,797712,707612,2520
Karur,169,1,19,287095,528184,536309,2904
Katni,905,42,4,289551,662013,630029,4950
Kaushambi,729,139,9,277851,838485,761111,1779
Kawardha,957,49,6,178446,412058,410468,4235
Kendujhar,2064,59,9,405272,906487,895246,8303
Khammam,1103,120,14,754034,1390988,1406382,16029
Kheda,615,3,12,466856,1185727,1114158,3953
Kheri,1706,88,14,745077,2123187,1898056,7680
Khordha,1356,178,13,494212,1167137,1084536,2813
Kodagu,291,5,5,142716,274608,279911,4102
Kolar,1608,189,7,333348,776396,760005,3979
Kolhapur,1195,21,23,840240,1980658,1895343,7685
Kolkata,0,0,1,1024928,2356766,2139928,185
Kollam,69,0,27,669375,1246968,1388407,2483
Koppal,595,34,5,264595,699926,689994,5570
Koraput,1941,101,7,337677,678809,700838,8807
Korba,707,12,7,280073,612915,593725,6598
Koriya,623,13,8,153274,334737,324180,6604
Kota,805,69,11,396501,1021161,929853,5217
Kottayam,80,0,17,487296,968289,1006262,2206
Kozhikode,51,0,51,697710,1470942,1615351,2345
Krishna,934,34,17,1243293,2267375,2250023,8727
Kullu,314,12,5,94807,225452,212451,5503
Kurnool,870,28,12,887652,2039227,2014236,17658
Kurukshetra,407,8,5,188143,510976,453679,1530
Kushinagar,1579,60,8,561062,1818055,1746489,2905
Lucknow,803,4,12,860703,2394476,2195362,2528
Ludhiana,885,22,20,716826,1867816,1630923,3578
Madhubani,1040,70,6,898515,2329313,2158066,3501
Madurai,526,44,39,794887,1526475,1511777,3710
Mahasamund,1112,33,6,248561,511967,520787,4790
