stateid,distid,nmales,nfemales,area_sqkm,nlines,lengthlines
10,6,1155283,1073793,2425,632,1060484.134
10,9,1699370,1565249,3229,1031,1526267.24
10,12,997174,903487,1687,534,760926.6877
10,14,2527497,2273565,3172,1252,1767595.226
10,16,1675090,1655374,2219,708,1108293.039
10,17,2022821,1929041,2641,782,1219361.299
10,22,1615663,1422103,2569,793,1125930.981
10,23,1067140,967623,3020,876,1302305.602
10,26,329743,306599,689,310,446299.4724
10,27,1497060,1380593,2355,1240,1557287.387
10,28,3078512,2759953,3202,1140,1688616.577
10,30,887977,818375,1703,520,865938.4386
10,31,847006,779378,3332,783,1198437.274
10,32,1543546,1416372,3881,1337,1896945.937
10,35,2266566,2124852,4976,1753,2517539.568
11,0,323070,287507,7096,-1,-1
12,0,713912,669815,83743,-1,-1
13,0,1024649,953853,16579,-1,-1
14,0,1438586,1417208,22327,-1,-1
15,0,555339,541867,21081,-1,-1
16,0,1874376,1799541,10486,-1,-1
17,0,1491832,1475057,22429,-1,-1
18,2,997848,951410,2176,282,513716.7862
18,3,513292,494891,1824,486,832496.4085
18,6,778461,739081,3105,548,1078787.632
18,9,486651,470772,1551,347,576659.6413
18,14,680231,647698,3790,388,893065.8111
18,17,556805,535451,2851,381,734056.2915
18,19,490167,466146,10434,392,789144.5097
18,21,886284,850333,3786,375,729676.0464
19,1,937259,909564,3149,357,692723.6468
19,2,1983064,1889782,6227,1371,2217562.855
19,4,1551066,1456068,3140,930,1475748.625
19,6,2051541,1937304,3733,734,1379500.649
19,7,3627564,3476243,5324,1461,2406764.315
19,8,1790920,1711484,4545,1428,2219425.733
19,9,3966889,3750674,7024,2279,3616411.804
19,10,2653768,2513832,3927,1277,1973910.936
19,11,5119389,4890392,4094,997,1689271.436
19,12,2814653,2704492,3149,1032,1613809.085
19,13,1838095,1758579,6882,1784,2981020.091
19,16,2500819,2349210,1467,497,670077.1227
19,17,2356766,2139928,185,97,127459.9122
19,18,4173778,3988183,9960,1526,2407518.792
20,2,1006302,933567,4393,607,1137394.98
20,12,1405956,1278531,2040,712,1044080.93
20,13,1072807,989523,2883,716,1170659.155
20,14,1494937,1419316,5097,1373,2112022.956
20,17,749385,752953,7224,1043,1895127.886
20,18,1176902,1117017,3562,894,1399604.884
21,1,749161,732094,5837,1019,1910629.572
21,2,296690,282815,2114,613,826757.0516
21,3,526877,514222,6624,962,1789542.089
21,5,1061147,1032290,9712,1224,2378874.279
21,6,906487,895246,8303,877,1911183.359
21,7,1256213,1263525,10418,1571,2834627.462
21,8,1185787,1134742,3806,694,1291032.992
21,9,760260,746077,2505,477,910055.7336
21,12,1352760,1271710,3932,875,1436898.445
21,13,926034,901158,2899,801,1263168.618
21,14,612593,580218,4452,901,1562616.219
21,15,655718,618103,6375,1336,2103513.031
21,16,502636,460153,3890,505,877902.0704
21,17,1167137,1084536,2813,747,1145840.1
21,18,865380,833350,3479,526,997504.5146
21,19,1779218,1749813,8206,1390,2424984.604
21,20,282882,294935,4325,285,788309.2769
21,21,359945,373165,8021,291,908224.2524
21,22,221625,219537,3098,226,565261.4438
21,23,311312,298871,2337,528,887204.0113
21,24,830097,818900,6575,1208,2277651.294
21,26,787101,789768,7920,970,1911848.642
21,27,471960,495951,7073,432,1178915.496
21,28,604812,616134,5291,788,1566460.364
21,29,678809,700838,8807,1045,2049327.661
21,30,303624,309568,5791,420,990250.3526
22,1,334737,324180,6604,546,1173011.939
22,2,1193129,1166757,15732,598,1169655.043
22,3,424747,426922,5838,848,1685390.991
22,4,750278,743706,7086,1574,2631506.549
22,4,1344345,1289855,7152,1574,2631506.549
22,5,612915,593725,6598,1325,2053382.52
22,6,815717,803990,3853,1578,2211702.612
22,8,412058,410468,4235,682,1358739.55
22,9,762855,774278,8070,1631,2859308.294
22,10,1682101,1661771,8535,1030,1339255.894
22,11,2048186,2015686,12383,1528,2514678.263
22,12,511967,520787,4790,1139,1945408.982
22,13,397897,401884,4084,578,1129185.114
22,14,373338,375603,7161,705,1593056.92
22,15,698487,714712,10470,583,1183646.988
23,1,361784,326077,6606,485,1183306.146
23,2,1068417,897553,4989,1146,1927160.715
23,4,1090327,941709,4560,835,1521391.422
23,5,420157,366597,2902,607,1139042.214
23,8,760355,684811,5048,895,1525901.526
23,9,936121,826254,8687,1579,2962950.417
23,10,533480,483040,7135,1021,1972315.678
23,12,661873,602346,7306,1331,2359192.351
23,13,1157495,1071440,7502,2066,3069015.979
23,15,330674,314084,4076,556,1187299.424
23,16,540021,526042,6205,945,1789862.527
23,17,575912,551121,4851,1043,1678127.844
23,20,738241,716828,4861,1042,1959907.635
23,21,1016289,970575,6091,1458,2567931.551
23,22,780520,732161,6195,1371,2490138.217
23,23,805359,758356,7020,1280,2505563.933
23,25,1112725,1073068,8153,1717,3016555.023
23,26,1699627,1577070,3898,1165,1762890.351
23,27,699340,686541,5427,647,1448396.898
23,27,953121,919925,8025,1380,2745895.216
23,29,674329,635732,7352,1149,2130349.237
23,30,790212,755602,6153,1294,2473052.611
23,32,1236130,1134931,2772,763,1204230.056
23,35,799236,776126,10043,1208,2667360.354
23,36,294838,275627,3334,556,1012482.099
23,37,648725,592625,6703,1103,1983075.051
23,38,662013,630029,4950,950,1746954.678
23,39,1277278,1186011,5211,1591,2338014.477
23,41,351913,352611,7470,904,1710246.853
23,42,525272,529633,5800,912,1897505.66
23,44,695879,683252,8758,1430,2787293.967
24,1,1096737,995634,45674,2841,5978342.387
24,3,694397,649337,5792,1207,2179503.486
24,4,1056520,978544,4401,1027,1775912.033
24,7,3788051,3426174,8107,1938,3443206.126
24,7,723864,667889,2140,872,1138494.224
24,8,909917,846351,10423,1263,2877624.774
24,9,1974445,1830113,11198,2785,4997459.463
24,10,1114192,1045927,14184,2190,3832708.073
24,12,1404356,1338726,8831,1804,3179629.137
24,13,771049,743141,7397,1212,2502625.328
24,14,1490201,1390164,10034,1273,2402143.245
24,16,1087224,1005521,3204,1033,1499023.576
24,16,1185727,1114158,3953,858,1468282.111
24,19,301086,289211,2817,452,850301.0692
24,19,2153736,2011890,7546,1999,3275916.01
24,21,805707,745312,6509,1428,2168188.744
24,22,3402224,2679098,4549,1533,2129265.962
25,0,150301,92946,111,-1,-1
26,0,193760,149949,491,196,259404.9449
27,1,833170,815125,5955,908,1834019.557
27,2,1054031,996831,7195,1000,2202196.728
27,3,2197365,2032552,11765,2063,4048821.118
27,5,932334,881572,5672.81,1256,2198207.393
27,6,620302,576858,4901.19,1119,2070277.903
27,7,1480768,1407677,12210,1840,3680701.718
27,8,668385,632389,6309,1540,2561966.232
27,9,2384975,2268595,9892,2019,3652903.693
27,10,605520,594814,4087,781,1434377.097
27,11,661554,660953,5234,686,1449687.091
27,13,1123834,1080473,11443,1623,3210883.467
27,14,1419965,1352383,13582,2736,4965201.663
27,15,1730075,1631217,10528,1975,3843121.628
27,16,606294,571051,4827,1009,1789501.408
27,17,942870,893216,6214,1316,2418110.932
27,18,1011473,947573,7694.11,1571,2918535.687
27,20,3157186,2950001,15530,2911,5498130.662
27,21,5865078,5195070,9558,1960,3316651.608
27,23,5031323,4325639,446,202,237985.3334
27,25,4924105,4505303,15643,3430,5974443.599
27,26,2342825,2200334,17048,3936,6802744.211
27,27,1349106,1235943,10693,2159,4038501.104
27,29,861535,796041,7569,1322,2638364.018
27,30,2227852,2089904,14895,3302,5802393.885
27,31,1510842,1492899,10480,1886,3559302.434
27,32,761121,853948,8208,469,1367137.672
27,34,1980658,1895343,7685,1210,2208288.18
28,1,1369597,1371642,16105,1889,4222461.01
28,2,1250641,1300694,7956,825,1423258.502
28,3,1880800,1895469,11823,610,920800.893
28,4,1523030,1510258,9699,734,1207845.721
28,5,2018575,1924748,217,103,124251.5959
28,6,2701008,2595733,7493,1596,2363229.305
28,7,2050386,2002642,18432,669,1147735.538
28,10,1390988,1406382,16029,957,1628635.262
28,13,2138910,2151679,11161,1708,3145576.085
28,14,2569688,2584608,10807,1953,3689986.848
28,15,1964918,1972048,7742,1531,2831791.418
28,16,2267375,2250023,8727,1875,3221316.085
28,17,2440521,2447292,11391,2182,3996319.153
28,18,1714764,1682684,17626,2529,5000615.785
28,19,1492974,1470583,13076,2249,4308088.135
28,20,1451777,1430692,15359,1950,3941144
28,21,2039227,2014236,17658,2282,4904152.637
28,22,2064495,2016653,19130,3023,5988998.77
28,23,2090204,2083860,15152,2896,4721373.193
29,1,2423063,2356598,13433,1968,4000121.726
29,2,950111,939641,6552,1073,2101074.339
29,3,128663,126567,8530,1346,3497093.878
29,3,1111022,1066309,10498,1346,3497093.878
29,5,870665,832635,5448,993,2047196.277
29,6,964511,964301,8442,1656,3079372.652
29,7,699926,689994,5570,895,1862761.368
29,8,537147,527423,4657,478,1192260.901
29,9,937206,909817,4260,674,1296219.686
29,10,726256,710913,10277,527,1506795.044
